condition_index,c0,c1,c2
0,0.16572770942002535,0.8689608341082931,0.7038161791861057
1,0.7935641743242741,0.055245254188776016,0.47532615903764963
2,0.5258547337725759,0.7275742506608367,0.7761683827266097
3,0.40558328852057457,0.4143517203629017,0.04372102953493595
4,0.2863879883661866,0.5358744794502854,0.26311852037906647
5,0.6566560938954353,0.3496043626219034,0.55798399168998
6,0.8970329025760293,0.9261689269915223,0.1943974969908595
7,0.019193097949028015,0.23940766789019108,0.9854696672409773
8,0.0951273925602436,0.639608851633966,0.12511032354086637
9,0.9729061620309949,0.45284830406308174,0.9278039541095495
10,0.705704640597105,0.7794665163382888,0.3226403221487999
11,0.3354975702241063,0.09319520369172096,0.6215093033388257
12,0.4820535406470299,0.956638433970511,0.8415800770744681
13,0.6022639507427812,0.14341709949076176,0.10526269860565662
14,0.8421110808849335,0.5656771892681718,0.6481703631579876
15,0.21433565113693476,0.25196089781820774,0.40792533848434687
16,0.24925926886498928,0.6003871727734804,0.8813717188313603
17,0.8692217236384749,0.2886087456718087,0.17239606380462646
18,0.5751380603760481,0.9903030712157488,0.5751671325415373
19,0.44711467530578375,0.17901960108429193,0.3700801460072398
20,0.36308170296251774,0.8082561008632183,0.08922409359365702
21,0.7411007983610034,0.12001641001552343,0.8567632623016834
22,0.9375252593308687,0.6674751602113247,0.39173647202551365
23,0.06755851488560438,0.4787462344393134,0.6632596766576171
24,0.054566494189202785,0.8925119061022997,0.4591658879071474
25,0.9245942737907171,0.2037822613492608,0.7188768973574042
26,0.6290794750675559,0.5011873710900545,0.027653799392282963
27,0.25099934451282024,0.31294886860996485,0.7913801930844784
28,0.43270167242735624,0.699715580791235,0.5116742309182882
29,0.5607860926538706,0.3884309222921729,0.31052593421190977
30,0.7586480705067515,0.840194147080183,0.9390049921348691
31,0.13862458057701588,0.028416438959538937,0.2417156770825386
32,0.14216652140021324,0.7345068631693721,0.34360490180552006
33,0.7702504666522145,0.42321957647800446,0.6033597057685256
34,0.5335434414446354,0.8447092501446605,0.14614541176706553
35,0.4135194765403867,0.03293463587760925,0.9098279811441898
36,0.2786959856748581,0.9192429902032018,0.626961586996913
37,0.6487232903018594,0.23051787726581097,0.42583038192242384
38,0.9205907061696053,0.5601499052718282,0.8207889469340444
39,0.04251010064035654,0.3719063978642225,0.12348251044750214
40,0.08719463367015123,0.7568657426163554,0.7650763588026166
41,0.96521420404315,0.06862342357635498,0.056148461997509
42,0.72902159858495,0.6483086226508021,0.6924400236457586
43,0.3590553291141987,0.45958279073238373,0.48730530869215727
44,0.4587399670854211,0.5882998974993825,0.2057339558377862
45,0.5787028968334198,0.2765260022133589,0.9732865504920483
46,0.8500471347942948,0.9479472460225224,0.2742509562522173
47,0.22202422469854355,0.13665877096354961,0.5457607647404075
48,0.19444772507995367,0.983618414029479,0.009683731012046337
49,0.814658610150218,0.17039207089692354,0.8123946022242308
50,0.614076173864305,0.6248790826648474,0.44099560379981995
51,0.48630121909081936,0.3111673193052411,0.7398473741486669
52,0.3241393445059657,0.6741531416773796,0.9572192644700408
53,0.70191858895123,0.48739569913595915,0.22094582952558994
54,0.9923324687406421,0.7837403491139412,0.5296005494892597
55,0.12212587334215641,0.0974664194509387,0.2893116110935807
56,0.015384091064333916,0.5235478188842535,0.5871708951890469
